paper_idx,arxiv_id,year,total_citations,num_references,paper_age,citations_per_year
1428,705.178,2007,200,27,18,10.526315789473685
3445,707.1202,2007,200,48,18,10.526315789473685
5286,709.0131,2007,200,43,18,10.526315789473685
8298,711.2267,2007,200,34,18,10.526315789473685
3980,707.3518,2007,200,65,18,10.526315789473685
3493,707.146,2007,200,64,18,10.526315789473685
1329,705.1378,2007,200,18,18,10.526315789473685
2469,706.1535,2007,199,85,18,10.473684210526315
4932,708.2942,2007,199,130,18,10.473684210526315
3809,707.2794,2007,199,64,18,10.473684210526315
7970,711.0925,2007,199,59,18,10.473684210526315
7162,710.3165,2007,199,23,18,10.473684210526315
1211,705.0878,2007,199,58,18,10.473684210526315
1643,705.2678,2007,198,105,18,10.421052631578947
8722,711.4158,2007,198,56,18,10.421052631578947
2960,706.3585,2007,198,40,18,10.421052631578947
5632,709.1414,2007,198,48,18,10.421052631578947
3938,707.3356,2007,198,120,18,10.421052631578947
4423,708.0844,2007,198,15,18,10.421052631578947
2846,706.3064,2007,197,26,18,10.368421052631579
9189,712.1019,2007,197,68,18,10.368421052631579
92,704.0423,2007,197,25,18,10.368421052631579
1880,705.3655,2007,196,25,18,10.31578947368421
6751,710.1345,2007,196,66,18,10.31578947368421
6754,710.1359,2007,196,80,18,10.31578947368421
4689,708.1894,2007,196,54,18,10.31578947368421
8414,711.2632,2007,196,42,18,10.31578947368421
1606,705.2519,2007,195,43,18,10.263157894736842
2240,706.0563,2007,194,79,18,10.210526315789474
2251,706.0622,2007,194,24,18,10.210526315789474
2556,706.1857,2007,193,10,18,10.157894736842104
103,704.0458,2007,193,34,18,10.157894736842104
3666,707.2258,2007,193,63,18,10.157894736842104
4266,708.014,2007,192,96,18,10.105263157894736
7521,710.4941,2007,192,40,18,10.105263157894736
1040,705.0126,2007,192,56,18,10.105263157894736
5428,709.0639,2007,192,80,18,10.105263157894736
4104,707.4173,2007,191,80,18,10.052631578947368
1499,705.21,2007,191,16,18,10.052631578947368
4282,708.0211,2007,191,81,18,10.052631578947368
4216,707.4662,2007,191,86,18,10.052631578947368
1587,705.2448,2007,190,27,18,10.0
5162,708.3996,2007,190,19,18,10.0
9684,712.2877,2007,190,67,18,10.0
6228,709.3839,2007,190,36,18,10.0
8613,711.364,2007,189,86,18,9.947368421052632
3857,707.2982,2007,189,51,18,9.947368421052632
5928,709.2617,2007,189,24,18,9.947368421052632
1651,705.2713,2007,189,59,18,9.947368421052632
4552,708.1327,2007,188,119,18,9.894736842105264
1906,705.3792,2007,188,28,18,9.894736842105264
5139,708.387,2007,188,52,18,9.894736842105264
2482,706.1564,2007,188,56,18,9.894736842105264
766,704.3001,2007,187,57,18,9.842105263157896
5393,709.0532,2007,187,99,18,9.842105263157896
5986,709.2887,2007,187,25,18,9.842105263157896
8707,711.4111,2007,187,34,18,9.842105263157896
6325,709.4252,2007,187,71,18,9.842105263157896
2024,705.4298,2007,186,82,18,9.789473684210526
7297,710.3783,2007,186,23,18,9.789473684210526
9604,712.2544,2007,186,54,18,9.789473684210526
6179,709.3687,2007,186,50,18,9.789473684210526
5360,709.0431,2007,186,40,18,9.789473684210526
8297,711.2264,2007,186,69,18,9.789473684210526
4203,707.4626,2007,186,24,18,9.789473684210526
1490,705.2054,2007,185,29,18,9.736842105263158
4769,708.2279,2007,185,105,18,9.736842105263158
7163,710.3166,2007,185,50,18,9.736842105263158
9231,712.1147,2007,185,63,18,9.736842105263158
3013,706.3802,2007,185,92,18,9.736842105263158
976,704.3832,2007,185,39,18,9.736842105263158
3234,707.0279,2007,185,28,18,9.736842105263158
1413,705.1733,2007,184,71,18,9.68421052631579
