paper_idx,year,age,citations,refs,cpy,early_est,late_est,beauty_ratio
0,2007,18,157,14,8.263157894736842,24.789473684210527,123.94736842105263,5.0
1,2007,18,177,54,9.31578947368421,27.94736842105263,139.73684210526315,5.0
4,2007,18,812,269,42.73684210526316,128.21052631578948,641.0526315789474,5.0
7,2007,18,66,42,3.473684210526316,10.421052631578949,52.10526315789474,5.0
9,2007,18,111,67,5.842105263157895,17.526315789473685,87.63157894736842,5.0
13,2007,18,824,15,43.36842105263158,130.10526315789474,650.5263157894738,5.0
14,2007,18,52,61,2.736842105263158,8.210526315789474,41.05263157894737,5.0
16,2007,18,72,40,3.789473684210526,11.368421052631579,56.84210526315789,5.0
17,2007,18,28,43,1.4736842105263157,4.421052631578947,22.105263157894736,5.0
19,2007,18,23,94,1.2105263157894737,3.6315789473684212,18.157894736842106,5.0
20,2007,18,1418,71,74.63157894736842,223.89473684210526,1119.4736842105265,5.000000000000001
23,2007,18,152,21,8.0,24.0,120.0,5.0
24,2007,18,108,60,5.684210526315789,17.05263157894737,85.26315789473684,4.999999999999999
26,2007,18,50,86,2.6315789473684212,7.894736842105264,39.473684210526315,4.999999999999999
27,2007,18,21,52,1.105263157894737,3.3157894736842106,16.578947368421055,5.000000000000001
28,2007,18,152,91,8.0,24.0,120.0,5.0
31,2007,18,24,13,1.263157894736842,3.789473684210526,18.94736842105263,5.0
32,2007,18,180,35,9.473684210526315,28.421052631578945,142.10526315789474,5.000000000000001
33,2007,18,21,57,1.105263157894737,3.3157894736842106,16.578947368421055,5.000000000000001
34,2007,18,51,22,2.6842105263157894,8.052631578947368,40.26315789473684,5.0
36,2007,18,27,40,1.4210526315789473,4.2631578947368425,21.31578947368421,4.999999999999999
44,2007,18,26,140,1.368421052631579,4.105263157894737,20.526315789473685,5.0
45,2007,18,33,82,1.736842105263158,5.210526315789474,26.05263157894737,5.0
46,2007,18,49,20,2.5789473684210527,7.7368421052631575,38.68421052631579,5.0
47,2007,18,56,69,2.9473684210526314,8.842105263157894,44.21052631578947,5.0
49,2007,18,63,144,3.3157894736842106,9.947368421052632,49.73684210526316,5.0
50,2007,18,718,40,37.78947368421053,113.36842105263159,566.8421052631579,5.0
54,2007,18,24,23,1.263157894736842,3.789473684210526,18.94736842105263,5.0
55,2007,18,225,40,11.842105263157896,35.526315789473685,177.63157894736844,5.0
57,2007,18,132,26,6.947368421052632,20.842105263157897,104.21052631578948,5.0
59,2007,18,58,36,3.0526315789473686,9.157894736842106,45.78947368421053,5.0
60,2007,18,118,60,6.2105263157894735,18.63157894736842,93.1578947368421,4.999999999999999
64,2007,18,100,43,5.2631578947368425,15.789473684210527,78.94736842105263,4.999999999999999
65,2007,18,245,54,12.894736842105264,38.684210526315795,193.42105263157896,5.0
66,2007,18,75,61,3.9473684210526314,11.842105263157894,59.21052631578947,5.0
